,Балкон:,Вид из окна:,Высота потолков:,Год постройки:,До метро,Жилая площадь:,Координаты,Лифт:,Метро,Общая площадь:,Отделка:,Парковка:,Площадь комнат:,Площадь кухни:,Раздельных санузлов:,Ремонт:,Санузел:,Сдача ГК:,Совмещенных санузлов:,Статус помещения:,Телефон:,Тип дома:,Тип продажи:,Цена,Этаж:
1,1 балк.,–,,2015,"15
                мин.
                
                    на машине",20 м2,"[37.554169,55.493120]",1 пасс. + 1 груз.,"Бунинская аллея,",37 м2,,наземная,20 м2,9 м2,,косметический,,,1,,,"вторичка, 
            монолитный",свободная,4 250 000 руб.,10 / 18
2,1 балк.,двор и улица,,,"8
                мин.
                
                    на машине",21 м2,"[37.411526,55.646081]",1 пасс. + 1 груз.,"Юго-Западная,",40 м2,,,21 м2,"9,5 м2",1,косметический,,,,,да,"вторичка, 
            блочный",свободная,5 400 000 руб.,3 / 14
3,–,двор,,1970,"15
                мин.
                
                    пешком","34,9 м2","[37.462936,55.867607]",1 пасс. + 1 груз.,"Речной вокзал,",58 м2,,,"18,3-16,6 м2","8,1 м2",,евроремонт,,,1,,да,вторичка,свободная,9 150 000 руб.,4 / 17
4,–,двор,"3,15 м",2013,"15
                мин.
                
                    на машине",11 м2,"[37.552543,55.491804]",–,"Бунинская аллея,",15 м2,,наземная,11 м2,4 м2,,косметический,,,1,,,вторичка,свободная,1 390 000 руб.,1 / 3
5,–,двор,3 м,2014,"15
                мин.
                
                    на машине",12 м2,"[37.552543,55.491804]",–,"Бунинская аллея,",15 м2,,наземная,12 м2,–,,отсутствует,,,1,,нет,вторичка,свободная,1 390 000 руб.,3 / 4
6,–,–,,,"25
                мин.
                
                    на машине",26 м2,"[37.322593,55.648382]",–,"Киевская,",29 м2,,наземная,26 м2,–,,отсутствует,,,1,,,вторичка,свободная,1 440 000 руб.,3 / 3
7,–,двор,,,NA,18 м2,"[37.327327,55.648042]",–,"Киевская,","21,2 м2",,наземная,–,3 м2,,отсутствует,,,1,,,вторичка,свободная,1 790 000 руб.,1 / 3
8,–,двор,"2,64 м",1972,"12
                мин.
                
                    пешком",8 м2,"[37.617986,55.606690]",1 пасс.,"Пражская,",12 м2,,наземная,–,2 м2,,косметический,,,1,,,"вторичка, 
            панельный дом",свободная,1 790 000 руб.,1 / 9
9,–,улица,,,"35
                мин.
                
                    на машине","18,1 м2","[36.917628,55.497660]",–,"Саларьево,","34,8 м2",,,18.1 м2,"10,8 м2",,,нет,2 кв. 2017 года,,,,"новостройка, 
            панельный дом",переуступка,1 800 000 руб.,1 / 3
10,–,двор,"2,64 м",1968,"22
                мин.
                
                    пешком","11,8 м2","[37.648385,55.616676]",–,"Царицыно,","11,8 м2",,,9 м2,–,1,косметический,,,,,,вторичка,свободная,1 800 000 руб.,1 / 9
11,–,двор,"2,48 м",1964,"5
                мин.
                
                    пешком",8 м2,"[37.742061,55.798647]",–,"Локомотив,","11,5 м2",,,8 м2,3 м2,,косметический,,,1,,,вторичка,свободная,1 850 000 руб.,1 / 5
12,–,двор,"2,64 м",1966,"5
                мин.
                
                    пешком",8 м2,"[37.442266,55.855219]",1 пасс.,"Сходненская,","11,5 м2",,наземная,8 м2,–,,косметический,,,1,,да,вторичка,свободная,1 850 000 руб.,1 / 9
13,–,двор,,,"35
                мин.
                
                    на машине","18,1 м2","[36.917628,55.497660]",–,"Саларьево,","34,2 м2",,,"18,1 м2","10,2 м2",,,,1 кв. 2017 года,1,,,"новостройка, 
            панельный дом",переуступка,1 850 000 руб.,2 / 3
14,–,двор,"2,64 м",1966,"5
                мин.
                
                    пешком",8 м2,"[37.442266,55.855219]",1 пасс.,"Сходненская,",12 м2,,наземная,8 м2,"2,5 м2",,косметический,,,1,,,вторичка,свободная,1 850 000 руб.,1 / 9
15,–,двор,"3,20 м",,NA,20 м2,"[37.318002,55.614922]",–,NA,"26,7 м2",,,"26,7 м2",4 м2,1,косметический,,,,,,вторичка,свободная,1 860 000 руб.,1 / 2
16,–,двор,,,"10
                мин.
                
                    на машине",16 м2,"[37.468506,55.585057]",–,"Теплый Стан,",20 м2,,наземная,16 м2,"2,5 м2",,отсутствует,,,1,,,вторичка,свободная,1 890 000 руб.,1 / 3
17,1 балк.,двор,,,"37
                мин.
                
                    на машине","17,5 м2","[36.917628,55.497660]",1 пасс. + 1 груз.,"Саларьево,","34,0 м2",,,17.5 м2,"8,3 м2",1,,,4 кв. 2016 года,,,,"новостройка, 
            монолитный",свободная,1 950 000 руб.,1 / 3
18,–,двор,,,"10
                мин.
                
                    на машине",14 м2,"[37.469611,55.587005]",–,"Теплый Стан,",20 м2,,,14 м2,4 м2,,отсутствует,,,1,,,вторичка,свободная,1 990 000 руб.,1 / 3
